Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Himmelsthür, Hildesheim (31137)",329.000 € 4.883 €/m²,2 Zimmer,"67,4 m²",Unknown,https://www.immowelt.de/expose/304fea80-6f66-4864-bc2a-24ac0bedab98
"Himmelsthür, Hildesheim (31137)",359.000 € 4.918 €/m²,2 Zimmer,73 m²,2. Geschoss,https://www.immowelt.de/expose/9ca0cd31-4476-4873-a2bd-65644905cf1d
"Himmelsthür, Hildesheim (31137)",539.000 € 4.820 €/m²,4 Zimmer,"111,8 m²",2. Geschoss,https://www.immowelt.de/expose/abc00c67-da8d-443b-bd38-5dbd04e88f0c
"Himmelsthür, Hildesheim (31137)",459.000 € 4.847 €/m²,3 Zimmer,"94,7 m²",1. Geschoss,https://www.immowelt.de/expose/3a7b3dc7-9c09-4337-a835-580f7dcb2fe5
"Himmelsthür, Hildesheim (31137)",315.500 € 4.835 €/m²,2 Zimmer,"65,3 m²",1. Geschoss,https://www.immowelt.de/expose/43e6fa81-f09c-44d0-9867-0a951fe57742
"Himmelsthür, Hildesheim (31137)",529.500 € 4.898 €/m²,3 Zimmer,"108,1 m²",1. Geschoss,https://www.immowelt.de/expose/bde1ace7-1e64-460c-996c-ece68fd56ab3
"Himmelsthür, Hildesheim (31137)",449.500 € 4.761 €/m²,3 Zimmer,"94,4 m²",Unknown,https://www.immowelt.de/expose/5c5b5df2-e803-49ef-a60a-b5748fbaf42b
"Himmelsthür, Hildesheim (31137)",309.500 € 4.746 €/m²,2 Zimmer,"65,2 m²",Unknown,https://www.immowelt.de/expose/2f33ba83-b460-4e03-9016-ba30b11c4fd8
"Himmelsthür, Hildesheim (31137)",449.000 € 4.801 €/m²,3 Zimmer,"93,5 m²",Unknown,https://www.immowelt.de/expose/d3a2d32d-d78a-43a2-8c4a-c852b1f4fc6e
"Sorsum, Hildesheim-Sorsum (31139)",195.000 € 1.625 €/m²,6 Zimmer,120 m²,290 m² Grundstück,https://www.immowelt.de/expose/6287ae12-e388-4975-8258-a5969ccbedb1
"Himmelsthür, Hildesheim / Himmelsthür (31137)",235.000 € 2.682 €/m²,"4,5 Zimmer","87,6 m²",Unknown,https://www.immowelt.de/expose/afcecabe-79c8-47ec-bb08-469de5406596
"Himmelsthür, Hildesheim / Himmelsthür (31137)",225.000 € 2.568 €/m²,"4,5 Zimmer","87,6 m²",Unknown,https://www.immowelt.de/expose/930fe81e-a423-4a8f-a2c5-3e74a744c475
"Himmelsthür, Hildesheim / Himmelsthür (31137)",189.000 € 2.505 €/m²,"3,5 Zimmer","75,4 m²",Unknown,https://www.immowelt.de/expose/1f0f4649-2e69-482b-8770-e850b65bc9cc
"Galgenberg, Hildesheim (31141)",395.000 € 3.238 €/m²,3 Zimmer,122 m²,Unknown,https://www.immowelt.de/expose/ca14f8be-0153-491e-9280-1627ec754dd8
"Ochtersum, Hildesheim / Ochtersum (31139)",499.000 € 3.716 €/m²,5 Zimmer,"134,3 m²",340 m² Grundstück,https://www.immowelt.de/expose/11c18f5a-5bb0-4ef0-9d16-4a23a774ddcd
"Himmelsthür, Hildesheim (31137)",259.000 € 1.850 €/m²,7 Zimmer,140 m²,367 m² Grundstück,https://www.immowelt.de/expose/05962c01-fe52-4068-9ded-9e436dc38a4a
"Ochtersum, Hildesheim (31139)",392.900 € 2.535 €/m²,6 Zimmer,155 m²,529 m² Grundstück,https://www.immowelt.de/expose/03778405-6f58-4293-84cc-08acbfaefa65
"Neuhof, Hildesheim (31139)",576.900 € 2.075 €/m²,8 Zimmer,278 m²,549 m² Grundstück,https://www.immowelt.de/expose/ac8e634e-8e76-442e-a0a8-3f3048921af3
"Ochtersum, Hildesheim (31139)",435.000 € 2.522 €/m²,4 Zimmer,"172,5 m²",432 m² Grundstück,https://www.immowelt.de/expose/ea228e86-1726-4d73-95f1-0a03420ebbe1
