Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL,city_id,full_address,score
Untertheesen, Bielefeld (33613),301.438 4.550,2 Zimmer,"66,3 m²",Unknown,https://www.immowelt.de/expose/0c8d8563-37e9-4e63-9e1a-f7c7a6075eba,2616,"Untertheesen,  Bielefeld (33613)",0
Welscher, Bielefeld (33729),250.000 4.167,"1,5 Zimmer",60 m²,frei ab sofort,https://www.immowelt.de/expose/7ffb3402-ecec-4be0-825c-d39e2b8bbd2f,2616,"Welscher,  Bielefeld (33729)",124
Kesselbrink, Bielefeld (33602),6999990,265 m² Grundstuck,Unknown,Unknown,https://www.immowelt.de/expose/8d0c2a31-57d8-4f2a-9d7e-8ff71f9dda86,2616,"Kesselbrink,  Bielefeld (33602)",651
SternstraÃŸe, Bielefeld (33699),454.000 3.632,4 Zimmer,125 m²,336 m² Grundstuck,https://www.immowelt.de/expose/cb31b95f-c3fa-46c4-8aea-e7ba2eaf3515,2616,"SternstraÃŸe,  Bielefeld (33699)",0
JÃ¶llenbeck - Ost, Bielefeld (33739),559.000 2.867,6 Zimmer,195 m²,568 m² Grundstuck,https://www.immowelt.de/expose/c17df7bf-17ce-4029-acf6-7e846e1c9c25,2616,"JÃ¶llenbeck - Ost,  Bielefeld (33739)",0
Quelle, Bielefeld / Quelle (33649),385.000 4.127,3 Zimmer,"93,3 m²",Unknown,https://www.immowelt.de/expose/024b6f82-9ca8-409d-91bf-060501bb6681,2616,"Quelle,  Bielefeld / Quelle (33649)",50
Untertheesen, Bielefeld (33613),399.000 4.368,3 Zimmer,"91,4 m²",Unknown,https://www.immowelt.de/expose/6d5906de-e193-4741-b0d2-483fee638e54,2616,"Untertheesen,  Bielefeld (33613)",0
Quelle, Bielefeld / Quelle (33649),395.000 4.150,3 Zimmer,"95,2 m²",Unknown,https://www.immowelt.de/expose/1dea3fd6-8dda-4176-856e-b7494858e26c,2616,"Quelle,  Bielefeld / Quelle (33649)",50
Sudwestfeld, Bielefeld (33647),340.000 1.889,5 Zimmer,180 m²,728 m² Grundstuck,https://www.immowelt.de/expose/3541f6bf-9463-4d8b-9230-491ad2528ab6,2616,"Sudwestfeld,  Bielefeld (33647)",0
Siegfriedplatz, Bielefeld (33615),219.000 2.399,3 Zimmer,"91,3 m²",EG,https://www.immowelt.de/expose/f24024cc-793e-402f-8767-0c2de733e76a,2616,"Siegfriedplatz,  Bielefeld (33615)",456
Grasbreede 8, Bielefeld (33719),479.000 3.832,4 Zimmer,125 m²,455 m² Grundstuck,https://www.immowelt.de/expose/77c76cad-8c03-443a-af07-233bc9c62f9b,2616,"Grasbreede 8,  Bielefeld (33719)",42
Ubbedissen, Bielefeld (33699),559.000 3.451,4 Zimmer,162 m²,426 m² Grundstuck,https://www.immowelt.de/expose/ba85e7d1-898e-4362-b356-3497564bc8f3,2616,"Ubbedissen,  Bielefeld (33699)",29
Blankenburger Weg 7, Bielefeld (33619),879.000 6.083,5 Zimmer,"144,5 m²",456 m² Grundstuck,https://www.immowelt.de/expose/372d9a0d-d706-4e4a-86e8-6f76838615f1,2616,"Blankenburger Weg 7,  Bielefeld (33619)",15
Alt- und Neustadt, Bielefeld / Innenstadt (33602),209.000 3.067,"3,5 Zimmer","68,2 m²",Unknown,https://www.immowelt.de/expose/fada5bbd-3d43-465b-b3e7-5e3582263972,2616,"Alt- und Neustadt,  Bielefeld / Innenstadt (33602)",0
Alt- und Neustadt, Bielefeld / Innenstadt (33602),179.000 3.138,2 Zimmer,"57,1 m²",2. Geschoss,https://www.immowelt.de/expose/8a8e8fba-033d-4468-bf22-81afe3b1d0ba,2616,"Alt- und Neustadt,  Bielefeld / Innenstadt (33602)",0
