city_ID;City_name;population
520;Buchhofen;0
521;Außernzell;0
522;Auerbach;0
523;Aicha vorm Wald;0
524;Aholming;0
525;Metten;0
526;Wallersdorf;0
527;Spiegelau;0
528;Schönberg;0
529;Schöllnach;0
530;Bernried;0
531;Ortenburg;0
532;Hengersberg;0
533;Osterhofen;0
534;Grafenau;0
535;Deggendorf;0
536;Plattling;0
537;Roßbach;0
538;Mamming;0
539;Simbach;0
540;Pilsting;0
541;Eichendorf;0
542;Arnstorf;0
543;Landau a.d. Isar;0
544;Sankt Englmar;0
545;Stallwang;0
546;Schwarzach;0
547;Rattiszell;0
548;Rattenberg;0
549;Rain;0
550;Perkam;0
551;Perasdorf;0
552;Parkstetten;0
553;Oberschneiding;0
554;Neukirchen;0
555;Mitterfels;0
556;Loitzendorf;0
557;Konzell;0
558;Kirchroth;0
559;Haselbach;0
560;Haibach;0
561;Feldkirchen;0
562;Falkenfels;0
563;Atting;0
564;Ascha;0
565;Aholfing;0
566;Straßkirchen;0
567;Leiblfing;0
568;Hunderdorf;0
569;Geiselhöring;0
570;Aiterhofen;0
571;Bogen;0
572;Straubing;44580
573;Rinchnach;0
574;Prackenbach;0
575;Patersdorf;0
576;Langdorf;0
577;Kollnburg;0
578;Kirchdorf i. Wald;0
579;Kirchberg;0
580;Frauenau;0
581;Drachselsried;0
582;Böbrach;0
583;Bischofsmais;0
584;Bayerisch Eisenstein;0
585;Achslach;0
586;Bodenmais;0
587;Teisnach;0
588;Zachenberg;0
589;Viechtach;0
590;Thurmansbang;0
591;Tettenweis;0
592;Stubenberg;0
593;Sonnen;0
594;Saldenburg;0
595;Ruderting;0
596;Ringelai;0
597;Philippsreut;0
598;Perlesreut;0
599;Neukirchen vorm Wald;0
600;Neuhaus a. Inn;0
601;Kößlarn;0
602;Kirchham;0
603;Hinterschmiding;0
604;Grainet;0
605;Fürsteneck;0
606;Ering;0
607;Bayerbach;0
608;Thyrnau;0
609;Röhrnbach;0
610;Obernzell;0
611;Neuburg a. Inn;0
612;Büchlberg;0
613;Salzweg;0
614;Jandelsbrunn;0
615;Hutthurm;0
616;Tiefenbach;0
617;Tittling;0
618;Ruhstorf a.d. Rott;0
619;Rotthalmünster;0
620;Neureichenau;0
621;Griesbach i. Rottal;0
622;Fürstenzell;0
623;Freyung;0
624;Bad Füssing;0
625;Waldkirchen;0
626;Pocking;0
627;Hauzenberg;0
628;Passau;50560
629;Zandt;0
630;Willmering;0
