Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Creidlitz, Coburg (96450)",440.000 € 2.699 €/m²,4 Zimmer,163 m²,Unknown,https://www.immowelt.de/expose/3b1f8100-95a0-42d6-bc25-765fcd94b37f
"Innenstadt, Coburg (96450)",380.000 € 2.172 €/m²,4 Zimmer,175 m²,1.000 m² Grundstück,https://www.immowelt.de/expose/b82de74b-cd23-4a7f-94e4-d80762c7eade
"Ketschendorf, Coburg (96450)",332.000 € 3.098 €/m²,4 Zimmer,"107,2 m²",600 m² Grundstück,https://www.immowelt.de/expose/adf6b066-51ac-45af-92bd-4c390d50d130
"Scheuerfeld, Coburg (96450)",354.000 € 2.011 €/m²,176 m²,563 m² Grundstück,Unknown,https://www.immowelt.de/expose/5b3ee4c6-48e8-4eea-b626-8777daf70018
"Creidlitz, Coburg (96450)",303.999 € 1.555 €/m²,6 Zimmer,"195,5 m²",Unknown,https://www.immowelt.de/expose/12c41167-869f-4c1f-9010-c6de6ce83d80
"Innenstadt, Coburg (96450)",278.000 € 1.745 €/m²,4 Zimmer,"159,3 m²",620 m² Grundstück,https://www.immowelt.de/expose/35d72bf0-c750-41ad-9c13-677a3975b836
"Innenstadt, Coburg (96450)",388.000 € 3.527 €/m²,4 Zimmer,110 m²,169 m² Grundstück,https://www.immowelt.de/expose/99d068c4-662f-4ef8-9bad-2b0c95ccadcf
"Beiersdorf, Beiersdorf (96450)",254.000 € 1.716 €/m²,5 Zimmer,148 m²,900 m² Grundstück,https://www.immowelt.de/expose/e31eaeed-7aab-44a4-ac0f-a20b50ee4b98
"Scheuerfeld, Coburg (96450)",354.000 € 3.766 €/m²,94 m²,Unknown,Unknown,https://www.immowelt.de/expose/9062578c-8235-4630-9e6a-e42482b96b50
"Nicolaus-Zech-Str. xxx, Scheuerfeld, Coburg (96450)",354.000 € 2.011 €/m²,176 m²,563 m² Grundstück,Unknown,https://www.immowelt.de/expose/d51ac372-c984-4c51-9988-1c9579441738
"Innenstadt, Coburg (96450)",129.000 € 2.213 €/m²,2 Zimmer,"58,3 m²",2. Geschoss,https://www.immowelt.de/expose/1b01ad62-3b3e-4de9-9cbd-c4499b5902d7
"Innenstadt, Coburg (96450)",195.000 € 2.120 €/m²,5 Zimmer,92 m²,70 m² Grundstück,https://www.immowelt.de/expose/61ed13b7-0866-4c40-b8f8-c47a17e75712
